"","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW"
"Aspergillus fumigatus",-4.74853319525648,-4.74853319525648,8.23033696438524,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Candidozyma auris",-4.74853319525648,-4.74853319525648,5.73143024412731,-4.74853319525648,3.49918197242999,4.71985096153946,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.35638042158897
"Hemiselmis andersenii",-4.74853319525648,-4.74853319525648,6.84076978641171,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Bordetella petrii",-4.74853319525648,-4.74853319525648,10.4770672224274,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Bordetella pertussis",-4.74853319525648,-4.74853319525648,11.8938872889388,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Bordetella genomosp. 13",-4.74853319525648,-4.74853319525648,9.03836606800754,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Achromobacter deleyi",-4.74853319525648,-4.74853319525648,8.89225532232869,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Achromobacter aegrifaciens",-4.74853319525648,-4.74853319525648,8.60564350863979,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Achromobacter anxifer",-4.74853319525648,-4.74853319525648,7.22489153011312,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Candidatus Symbiobacter mobilis",-4.74853319525648,-4.74853319525648,5.52024486158636,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Rhodoferax sp. BAB1",-4.74853319525648,-4.74853319525648,6.55652040346576,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Tundrisphaera macrotermitis",-4.74853319525648,-4.74853319525648,6.33739450718002,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Tundrisphaera lichenicola",-4.74853319525648,-4.74853319525648,4.66652470037329,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
